,Unnamed: 0,mea_ddhr,tem_in,hum_in,tem_coil,tem_out,hum_out,cond,loc,time_period,tem_diff,ran
121696,121696,2017-04-06 2:00,13.82,82.75,12.27,11.43,92.06,0.0,3,2017-04-06 02:00:00,1.5500000000000007,True
121697,121697,2017-04-06 3:00,13.69,82.78,12.24,11.13,93.07,0.0,3,2017-04-06 03:00:00,1.4499999999999993,True
121698,121698,2017-04-06 4:00,13.57,81.35,12.27,10.61,92.64,0.0,3,2017-04-06 04:00:00,1.3000000000000007,True
121699,121699,2017-04-06 5:00,13.36,81.23,12.2,10.37,92.61,0.0,3,2017-04-06 05:00:00,1.16,True
121700,121700,2017-04-06 6:00,13.17,80.53,12.24,10.03,92.64,0.0,3,2017-04-06 06:00:00,0.9299999999999996,True
123690,123690,2017-07-02 7:00,25.78,85.01,25.86,24.74,87.27,0.0,3,2017-07-02 07:00:00,-0.0799999999999983,True
123691,123691,2017-07-02 8:00,25.9,84.43,25.86,25.23,85.9,0.0,3,2017-07-02 08:00:00,0.03999999999999915,True
123692,123692,2017-07-02 9:00,26.24,84.34,25.86,26.0,83.64,0.0,3,2017-07-02 09:00:00,0.37999999999999895,True
123693,123693,2017-07-02 10:00,26.54,84.25,26.05,26.48,82.81,0.0,3,2017-07-02 10:00:00,0.4899999999999984,True
123694,123694,2017-07-02 11:00,27.0,82.36,26.01,27.22,76.53,0.0,3,2017-07-02 11:00:00,0.9899999999999984,True
123695,123695,2017-07-02 12:00,27.28,80.16,26.12,27.31,76.5,0.0,3,2017-07-02 12:00:00,1.16,True
123706,123706,2017-07-02 23:00,26.39,83.91,26.16,25.45,85.71,0.0,3,2017-07-02 23:00:00,0.23000000000000045,True
123707,123707,2017-07-03 0:00,26.54,82.66,26.2,25.42,85.81,0.0,3,2017-07-03 00:00:00,0.33999999999999986,True
123709,123709,2017-07-03 2:00,26.64,82.33,26.12,25.32,86.2,0.0,3,2017-07-03 02:00:00,0.5199999999999996,True
123886,123886,2017-07-10 11:00,27.03,84.55,27.16,26.24,87.09,0.0,3,2017-07-10 11:00:00,-0.129999999999999,True
123887,123887,2017-07-10 12:00,27.06,85.32,27.31,25.96,88.31,0.0,3,2017-07-10 12:00:00,-0.25,True
124051,124051,2017-07-17 8:00,27.31,84.07,27.19,26.73,85.65,0.0,3,2017-07-17 08:00:00,0.11999999999999746,True
124938,124938,2017-08-23 7:00,27.03,84.62,27.16,25.26,91.51,0.0,3,2017-08-23 07:00:00,-0.129999999999999,True
124940,124940,2017-08-23 9:00,27.86,85.68,27.54,30.15,77.93,0.0,3,2017-08-23 09:00:00,0.3200000000000003,True
124941,124941,2017-08-23 10:00,29.11,81.84,27.99,31.37,70.02,0.0,3,2017-08-23 10:00:00,1.120000000000001,True
124942,124942,2017-08-23 11:00,29.87,80.13,28.19,32.92,65.11,0.0,3,2017-08-23 11:00:00,1.6799999999999995,True
124943,124943,2017-08-23 12:00,30.36,76.95,28.38,32.01,68.77,0.0,3,2017-08-23 12:00:00,1.9800000000000004,True
124944,124944,2017-08-23 13:00,30.57,76.34,28.15,32.77,63.95,0.0,3,2017-08-23 13:00:00,2.4200000000000017,True
125696,125696,2017-09-24 11:00,23.03,82.23,22.08,23.22,78.75,0.0,3,2017-09-24 11:00:00,0.9500000000000028,True
125697,125697,2017-09-24 12:00,23.25,81.38,22.12,23.98,76.47,0.0,3,2017-09-24 12:00:00,1.129999999999999,True
125698,125698,2017-09-24 13:00,23.55,80.59,22.16,24.5,72.8,0.0,3,2017-09-24 13:00:00,1.3900000000000006,True
125699,125699,2017-09-24 14:00,24.04,79.55,22.23,24.93,74.05,0.0,3,2017-09-24 14:00:00,1.8099999999999987,True
125700,125700,2017-09-24 15:00,24.26,80.71,22.42,24.99,76.65,0.0,3,2017-09-24 15:00:00,1.84,True
125701,125701,2017-09-24 16:00,24.62,79.24,22.5,26.61,64.71,0.0,3,2017-09-24 16:00:00,2.120000000000001,True
125702,125702,2017-09-24 17:00,24.84,76.95,22.54,24.99,71.64,0.0,3,2017-09-24 17:00:00,2.3000000000000007,True
125703,125703,2017-09-24 18:00,24.44,79.06,22.46,23.43,79.3,0.0,3,2017-09-24 18:00:00,1.9800000000000004,True
125704,125704,2017-09-24 19:00,24.07,80.01,22.42,23.13,79.98,0.0,3,2017-09-24 19:00:00,1.6499999999999986,True
125705,125705,2017-09-24 20:00,23.71,82.51,22.39,22.39,85.68,0.0,3,2017-09-24 20:00:00,1.3200000000000005,True
125706,125706,2017-09-24 21:00,23.52,82.54,22.39,22.0,86.39,0.0,3,2017-09-24 21:00:00,1.129999999999999,True
125707,125707,2017-09-24 22:00,23.49,83.79,22.35,22.52,86.14,0.0,3,2017-09-24 22:00:00,1.139999999999997,True
125708,125708,2017-09-24 23:00,23.25,82.54,22.39,21.57,85.13,0.0,3,2017-09-24 23:00:00,0.8599999999999994,True
125709,125709,2017-09-25 0:00,22.85,81.9,22.23,20.5,89.13,0.0,3,2017-09-25 00:00:00,0.620000000000001,True
126742,126742,2017-11-07 22:00,17.51,73.02,14.14,16.99,73.75,0.0,3,2017-11-07 22:00:00,3.370000000000001,True
126743,126743,2017-11-07 23:00,17.54,74.51,14.18,16.84,74.02,0.0,3,2017-11-07 23:00:00,3.3599999999999994,True
126744,126744,2017-11-08 0:00,17.48,74.94,14.41,16.68,76.47,0.0,3,2017-11-08 00:00:00,3.0700000000000003,True
126745,126745,2017-11-08 1:00,17.48,77.9,14.18,17.02,79.43,1.0,3,2017-11-08 01:00:00,3.3000000000000007,True
126746,126746,2017-11-08 2:00,17.42,80.62,14.22,16.56,79.4,1.0,3,2017-11-08 02:00:00,3.200000000000001,True
126747,126747,2017-11-08 3:00,17.45,79.98,14.18,16.59,78.69,1.0,3,2017-11-08 03:00:00,3.27,True
126748,126748,2017-11-08 4:00,17.14,78.97,14.22,16.11,78.14,1.0,3,2017-11-08 04:00:00,2.92,True
126749,126749,2017-11-08 5:00,16.99,78.75,14.37,15.77,80.43,0.0,3,2017-11-08 05:00:00,2.619999999999999,True
126750,126750,2017-11-08 6:00,16.9,76.22,14.18,15.59,75.0,0.0,3,2017-11-08 06:00:00,2.719999999999999,True
126886,126886,2017-11-13 22:00,13.36,74.85,10.4,12.47,78.97,0.0,3,2017-11-13 22:00:00,2.9599999999999986,True
126887,126887,2017-11-13 23:00,13.6,77.41,10.52,12.87,79.7,1.0,3,2017-11-13 23:00:00,3.08,True
126888,126888,2017-11-14 0:00,13.97,71.46,10.52,13.85,59.43,0.0,3,2017-11-14 00:00:00,3.450000000000001,True
127091,127091,2017-11-22 11:00,8.02,78.48,5.56,10.15,72.31,0.0,3,2017-11-22 11:00:00,2.46,True
127092,127092,2017-11-22 12:00,9.6,80.43,5.67,13.3,60.01,1.0,3,2017-11-22 12:00:00,3.93,True
127093,127093,2017-11-22 13:00,10.73,65.75,5.9,13.42,45.36,0.0,3,2017-11-22 13:00:00,4.83,True
127094,127094,2017-11-22 14:00,11.53,64.01,6.17,12.17,55.34,0.0,3,2017-11-22 14:00:00,5.3599999999999985,True
127095,127095,2017-11-22 15:00,11.56,64.84,6.28,10.4,61.9,0.0,3,2017-11-22 15:00:00,5.28,True
127170,127170,2017-11-25 18:00,10.7,65.08,5.67,10.7,64.44,0.0,3,2017-11-25 18:00:00,5.0299999999999985,True
127171,127171,2017-11-25 19:00,11.07,68.83,5.86,10.76,70.54,1.0,3,2017-11-25 19:00:00,5.21,True
127172,127172,2017-11-25 20:00,11.16,71.89,6.05,10.0,79.37,1.0,3,2017-11-25 20:00:00,5.11,True
127173,127173,2017-11-25 21:00,10.82,78.08,6.17,8.47,86.08,1.0,3,2017-11-25 21:00:00,4.65,True
127174,127174,2017-11-25 22:00,10.67,79.18,6.09,8.6,85.07,1.0,3,2017-11-25 22:00:00,4.58,True
127175,127175,2017-11-25 23:00,10.24,79.73,6.32,8.14,86.02,1.0,3,2017-11-25 23:00:00,3.92,True
127176,127176,2017-11-26 0:00,9.88,78.6,6.28,7.99,83.24,1.0,3,2017-11-26 00:00:00,3.6000000000000005,True
127177,127177,2017-11-26 1:00,9.73,78.6,6.47,8.32,80.25,1.0,3,2017-11-26 01:00:00,3.2600000000000007,True
127178,127178,2017-11-26 2:00,9.91,76.13,6.55,8.93,76.47,1.0,3,2017-11-26 02:00:00,3.3600000000000003,True
127179,127179,2017-11-26 3:00,9.57,78.39,6.55,7.59,84.34,1.0,3,2017-11-26 03:00:00,3.0200000000000005,True
127180,127180,2017-11-26 4:00,9.42,76.86,6.63,7.1,84.71,0.0,3,2017-11-26 04:00:00,2.79,True
127181,127181,2017-11-26 5:00,9.36,79.46,6.63,7.37,88.03,1.0,3,2017-11-26 05:00:00,2.7299999999999995,True
127182,127182,2017-11-26 6:00,9.02,77.26,6.59,6.15,88.89,0.0,3,2017-11-26 06:00:00,2.43,True
127251,127251,2017-11-29 3:00,10.95,72.99,7.28,10.34,81.38,0.0,3,2017-11-29 03:00:00,3.6699999999999986,True
127252,127252,2017-11-29 4:00,11.22,74.76,7.31,9.08,79.7,1.0,3,2017-11-29 04:00:00,3.910000000000001,True
127253,127253,2017-11-29 5:00,11.1,72.74,7.43,8.5,78.79,0.0,3,2017-11-29 05:00:00,3.67,True
127354,127354,2017-12-03 10:00,7.19,77.35,4.57,6.4,83.82,0.0,3,2017-12-03 10:00:00,2.62,True
127355,127355,2017-12-03 11:00,7.99,81.93,4.72,8.29,73.08,1.0,3,2017-12-03 11:00:00,3.2700000000000005,True
127356,127356,2017-12-03 12:00,8.6,81.38,4.99,7.99,78.94,1.0,3,2017-12-03 12:00:00,3.61,True
127357,127357,2017-12-03 13:00,9.11,78.48,5.1,8.14,77.26,1.0,3,2017-12-03 13:00:00,4.01,True
127358,127358,2017-12-03 14:00,8.81,80.04,5.18,8.5,76.89,1.0,3,2017-12-03 14:00:00,3.6300000000000012,True
127359,127359,2017-12-03 15:00,9.33,79.06,5.33,9.05,76.31,1.0,3,2017-12-03 15:00:00,4.0,True
127360,127360,2017-12-03 16:00,9.45,76.5,5.44,8.6,76.28,1.0,3,2017-12-03 16:00:00,4.009999999999999,True
127361,127361,2017-12-03 17:00,9.45,76.07,5.44,8.26,75.37,1.0,3,2017-12-03 17:00:00,4.009999999999999,True
127362,127362,2017-12-03 18:00,9.51,75.12,5.56,7.86,78.39,1.0,3,2017-12-03 18:00:00,3.95,True
127363,127363,2017-12-03 19:00,9.33,74.73,5.52,6.58,81.23,1.0,3,2017-12-03 19:00:00,3.810000000000001,True
127364,127364,2017-12-03 20:00,8.96,74.3,5.56,6.4,84.31,1.0,3,2017-12-03 20:00:00,3.400000000000001,True
127365,127365,2017-12-03 21:00,8.63,76.04,5.52,5.73,85.16,1.0,3,2017-12-03 21:00:00,3.110000000000001,True
127366,127366,2017-12-03 22:00,8.29,76.4,5.48,5.33,87.0,0.0,3,2017-12-03 22:00:00,2.8099999999999987,True
127367,127367,2017-12-03 23:00,8.05,77.41,5.71,5.02,87.52,0.0,3,2017-12-03 23:00:00,2.3400000000000007,True
127368,127368,2017-12-04 0:00,7.77,75.95,5.63,5.15,82.84,0.0,3,2017-12-04 00:00:00,2.14,True
127370,127370,2017-12-04 2:00,8.2,73.96,5.67,7.47,69.6,0.0,3,2017-12-04 02:00:00,2.53,True
127438,127438,2017-12-06 22:00,5.33,78.88,3.19,3.22,85.04,0.0,3,2017-12-06 22:00:00,2.14,True
127439,127439,2017-12-06 23:00,5.33,78.97,3.19,2.92,85.81,0.0,3,2017-12-06 23:00:00,2.14,True
127440,127440,2017-12-07 0:00,5.3,79.79,3.19,2.8,87.52,0.0,3,2017-12-07 00:00:00,2.11,True
127441,127441,2017-12-07 1:00,5.21,79.43,3.15,2.74,87.94,0.0,3,2017-12-07 01:00:00,2.06,True
127442,127442,2017-12-07 2:00,5.85,80.4,3.27,4.02,86.78,1.0,3,2017-12-07 02:00:00,2.58,True
127443,127443,2017-12-07 3:00,6.15,80.28,3.46,3.96,84.46,1.0,3,2017-12-07 03:00:00,2.6900000000000004,True
127444,127444,2017-12-07 4:00,6.46,77.87,3.46,5.21,77.5,1.0,3,2017-12-07 04:00:00,3.0,True
127445,127445,2017-12-07 5:00,6.25,76.74,3.46,4.02,81.62,0.0,3,2017-12-07 05:00:00,2.79,True
127446,127446,2017-12-07 6:00,5.85,78.54,3.5,3.01,88.55,0.0,3,2017-12-07 06:00:00,2.35,True
127447,127447,2017-12-07 7:00,5.48,77.47,3.54,2.34,89.16,0.0,3,2017-12-07 07:00:00,1.9400000000000004,True
127521,127521,2017-12-10 9:00,5.02,78.6,3.31,3.62,81.99,0.0,3,2017-12-10 09:00:00,1.7099999999999995,True
127522,127522,2017-12-10 10:00,6.12,78.51,3.42,4.78,83.91,1.0,3,2017-12-10 10:00:00,2.7,True
127523,127523,2017-12-10 11:00,6.58,81.53,3.5,5.7,87.06,1.0,3,2017-12-10 11:00:00,3.08,True
127524,127524,2017-12-10 12:00,7.47,80.98,3.5,7.83,75.03,1.0,3,2017-12-10 12:00:00,3.97,True
127525,127525,2017-12-10 13:00,8.35,77.11,3.88,9.88,63.31,1.0,3,2017-12-10 13:00:00,4.47,True
127526,127526,2017-12-10 14:00,9.3,69.2,4.15,10.21,55.68,1.0,3,2017-12-10 14:00:00,5.15,True
127654,127654,2017-12-15 22:00,3.68,68.41,-0.81,3.32,72.62,1.0,3,2017-12-15 22:00:00,4.49,True
127716,127716,2017-12-18 12:00,3.16,70.51,-0.51,4.96,61.78,0.0,3,2017-12-18 12:00:00,3.67,True
127727,127727,2017-12-18 23:00,5.67,67.74,0.87,4.14,67.28,1.0,3,2017-12-18 23:00:00,4.8,True
127771,127771,2017-12-20 19:00,3.25,75.37,0.94,1.15,84.04,0.0,3,2017-12-20 19:00:00,2.31,True
127772,127772,2017-12-20 20:00,3.19,78.05,0.94,1.06,85.56,0.0,3,2017-12-20 20:00:00,2.25,True
127773,127773,2017-12-20 21:00,2.95,78.33,0.9,0.42,85.59,0.0,3,2017-12-20 21:00:00,2.0500000000000003,True
127774,127774,2017-12-20 22:00,2.8,77.41,0.9,0.05,87.18,0.0,3,2017-12-20 22:00:00,1.9,True
127775,127775,2017-12-20 23:00,2.95,79.18,0.98,1.54,87.94,0.0,3,2017-12-20 23:00:00,1.97,True
127776,127776,2017-12-21 0:00,3.28,78.05,0.98,1.73,78.33,0.0,3,2017-12-21 00:00:00,2.3,True
127777,127777,2017-12-21 1:00,3.13,76.68,1.02,0.6,81.9,0.0,3,2017-12-21 01:00:00,2.11,True
127814,127814,2017-12-22 14:00,6.61,65.84,1.86,8.87,52.75,0.0,3,2017-12-22 14:00:00,4.75,True
127818,127818,2017-12-22 18:00,7.37,66.48,2.39,6.0,67.98,1.0,3,2017-12-22 18:00:00,4.98,True
127820,127820,2017-12-22 20:00,5.79,70.48,2.32,3.53,77.99,0.0,3,2017-12-22 20:00:00,3.47,True
127821,127821,2017-12-22 21:00,5.6,70.85,2.28,2.67,78.63,0.0,3,2017-12-22 21:00:00,3.32,True
127826,127826,2017-12-23 2:00,5.09,75.15,2.51,3.47,79.4,0.0,3,2017-12-23 02:00:00,2.58,True
127827,127827,2017-12-23 3:00,5.33,75.06,2.51,3.47,79.55,0.0,3,2017-12-23 03:00:00,2.8200000000000003,True
127828,127828,2017-12-23 4:00,5.24,75.67,2.54,3.19,81.38,0.0,3,2017-12-23 04:00:00,2.7,True
127829,127829,2017-12-23 5:00,5.18,75.79,2.62,2.92,81.99,0.0,3,2017-12-23 05:00:00,2.56,True
127830,127830,2017-12-23 6:00,5.09,76.86,2.74,2.86,84.13,0.0,3,2017-12-23 06:00:00,2.35,True
127831,127831,2017-12-23 7:00,4.75,78.24,2.66,2.46,85.2,0.0,3,2017-12-23 07:00:00,2.09,True
127832,127832,2017-12-23 8:00,4.63,78.14,2.58,2.22,86.6,0.0,3,2017-12-23 08:00:00,2.05,True
127833,127833,2017-12-23 9:00,4.81,79.03,2.66,3.53,83.73,0.0,3,2017-12-23 09:00:00,2.1499999999999995,True
127834,127834,2017-12-23 10:00,5.45,79.82,2.77,5.63,76.53,1.0,3,2017-12-23 10:00:00,2.68,True
127835,127835,2017-12-23 11:00,6.34,81.01,3.0,9.69,60.65,1.0,3,2017-12-23 11:00:00,3.34,True
127836,127836,2017-12-23 12:00,7.37,79.76,3.27,8.6,64.07,1.0,3,2017-12-23 12:00:00,4.1,True
127837,127837,2017-12-23 13:00,7.8,78.02,3.19,8.26,68.93,1.0,3,2017-12-23 13:00:00,4.6099999999999985,True
127838,127838,2017-12-23 14:00,8.2,76.28,3.69,8.47,70.48,1.0,3,2017-12-23 14:00:00,4.51,True
127839,127839,2017-12-23 15:00,8.47,75.12,3.57,8.84,68.62,1.0,3,2017-12-23 15:00:00,4.9,True
127840,127840,2017-12-23 16:00,8.38,75.85,3.8,9.24,65.11,1.0,3,2017-12-23 16:00:00,4.580000000000001,True
127841,127841,2017-12-23 17:00,8.26,75.12,3.88,7.8,72.71,1.0,3,2017-12-23 17:00:00,4.38,True
127842,127842,2017-12-23 18:00,7.77,73.63,3.99,5.09,78.45,1.0,3,2017-12-23 18:00:00,3.78,True
127843,127843,2017-12-23 19:00,7.44,77.99,3.92,5.94,83.58,1.0,3,2017-12-23 19:00:00,3.5200000000000005,True
127844,127844,2017-12-23 20:00,6.7,77.35,3.88,3.47,86.2,1.0,3,2017-12-23 20:00:00,2.8200000000000003,True
127845,127845,2017-12-23 21:00,6.37,79.91,3.92,3.19,86.11,1.0,3,2017-12-23 21:00:00,2.45,True
127846,127846,2017-12-23 22:00,6.06,80.37,3.88,3.68,88.46,1.0,3,2017-12-23 22:00:00,2.18,True
127847,127847,2017-12-23 23:00,6.12,81.38,3.99,3.77,86.54,1.0,3,2017-12-23 23:00:00,2.13,True
127848,127848,2017-12-24 0:00,6.12,82.54,3.99,4.35,87.24,1.0,3,2017-12-24 00:00:00,2.13,True
127849,127849,2017-12-24 1:00,5.88,79.58,3.96,3.62,86.87,0.0,3,2017-12-24 01:00:00,1.92,True
127850,127850,2017-12-24 2:00,5.91,79.4,3.99,3.71,85.2,0.0,3,2017-12-24 02:00:00,1.92,True
127851,127851,2017-12-24 3:00,5.85,79.43,3.99,4.26,83.94,0.0,3,2017-12-24 03:00:00,1.8599999999999997,True
127852,127852,2017-12-24 4:00,6.0,79.24,4.07,4.38,82.23,0.0,3,2017-12-24 04:00:00,1.93,True
127853,127853,2017-12-24 5:00,6.15,80.25,4.15,5.12,80.95,0.0,3,2017-12-24 05:00:00,2.0,True
127854,127854,2017-12-24 6:00,6.09,79.82,4.15,4.2,83.88,0.0,3,2017-12-24 06:00:00,1.9399999999999995,True
127855,127855,2017-12-24 7:00,6.0,79.82,4.15,4.29,84.0,0.0,3,2017-12-24 07:00:00,1.85,True
127856,127856,2017-12-24 8:00,6.06,81.41,4.15,4.38,85.9,0.0,3,2017-12-24 08:00:00,1.9099999999999997,True
127857,127857,2017-12-24 9:00,6.37,82.3,4.18,4.72,88.58,1.0,3,2017-12-24 09:00:00,2.1900000000000004,True
127858,127858,2017-12-24 10:00,6.52,83.97,4.26,4.78,88.74,1.0,3,2017-12-24 10:00:00,2.26,True
127859,127859,2017-12-24 11:00,6.61,84.04,4.3,4.69,89.74,1.0,3,2017-12-24 11:00:00,2.3100000000000005,True
127860,127860,2017-12-24 12:00,6.83,84.16,4.38,5.12,90.93,1.0,3,2017-12-24 12:00:00,2.45,True
127861,127861,2017-12-24 13:00,7.01,83.06,4.53,4.69,90.35,1.0,3,2017-12-24 13:00:00,2.4799999999999995,True
127862,127862,2017-12-24 14:00,7.01,85.04,4.45,5.3,88.74,1.0,3,2017-12-24 14:00:00,2.56,True
127863,127863,2017-12-24 15:00,6.64,81.07,4.41,3.96,84.74,1.0,3,2017-12-24 15:00:00,2.2299999999999995,True
127864,127864,2017-12-24 16:00,6.55,78.24,4.45,4.26,81.07,0.0,3,2017-12-24 16:00:00,2.1,True
127978,127978,2017-12-29 10:00,3.83,74.73,1.36,3.32,74.94,0.0,3,2017-12-29 10:00:00,2.47,True
127979,127979,2017-12-29 11:00,4.69,75.21,1.51,4.78,69.78,1.0,3,2017-12-29 11:00:00,3.1800000000000006,True
127980,127980,2017-12-29 12:00,5.63,72.62,1.78,5.09,70.42,1.0,3,2017-12-29 12:00:00,3.85,True
127981,127981,2017-12-29 13:00,5.94,74.91,1.78,5.7,71.73,1.0,3,2017-12-29 13:00:00,4.16,True
127982,127982,2017-12-29 14:00,6.25,73.81,1.9,5.36,72.68,1.0,3,2017-12-29 14:00:00,4.35,True
127983,127983,2017-12-29 15:00,6.89,69.05,2.12,5.48,69.75,1.0,3,2017-12-29 15:00:00,4.77,True
127984,127984,2017-12-29 16:00,7.1,66.85,2.24,5.18,71.46,1.0,3,2017-12-29 16:00:00,4.8599999999999985,True
127985,127985,2017-12-29 17:00,6.76,68.32,2.35,5.02,71.25,0.0,3,2017-12-29 17:00:00,4.41,True
127986,127986,2017-12-29 18:00,6.86,67.49,2.47,4.87,71.28,0.0,3,2017-12-29 18:00:00,4.3900000000000015,True
127987,127987,2017-12-29 19:00,6.52,68.22,2.32,4.75,71.7,0.0,3,2017-12-29 19:00:00,4.199999999999998,True
127988,127988,2017-12-29 20:00,6.25,69.9,2.51,3.77,78.05,0.0,3,2017-12-29 20:00:00,3.74,True
128015,128015,2017-12-31 1:00,4.78,78.3,3.19,2.49,88.03,0.0,3,2017-12-31 01:00:00,1.5900000000000003,True
128225,128225,2018-01-08 19:00,4.47,74.79,1.63,2.64,86.02,0.0,3,2018-01-08 19:00:00,2.84,True
128342,128342,2018-01-13 16:00,2.03,65.87,-2.57,0.42,66.3,0.0,3,2018-01-13 16:00:00,4.6,True
128343,128343,2018-01-13 17:00,2.03,66.06,-2.53,-0.26,68.86,0.0,3,2018-01-13 17:00:00,4.56,True
128362,128362,2018-01-14 12:00,1.27,71.15,-2.11,2.52,58.27,0.0,3,2018-01-14 12:00:00,3.38,True
128363,128363,2018-01-14 13:00,2.31,66.97,-1.96,2.8,58.61,0.0,3,2018-01-14 13:00:00,4.27,True
128364,128364,2018-01-14 14:00,3.19,64.9,-1.81,3.41,57.08,0.0,3,2018-01-14 14:00:00,5.0,True
128365,128365,2018-01-14 15:00,4.11,62.52,-1.46,4.35,56.01,0.0,3,2018-01-14 15:00:00,5.57,True
128366,128366,2018-01-14 16:00,4.47,60.65,-1.54,4.17,55.71,0.0,3,2018-01-14 16:00:00,6.01,True
128367,128367,2018-01-14 17:00,4.44,61.23,-1.31,3.16,60.32,0.0,3,2018-01-14 17:00:00,5.75,True
128368,128368,2018-01-14 18:00,4.38,61.9,-1.35,2.86,60.78,0.0,3,2018-01-14 18:00:00,5.73,True
128371,128371,2018-01-14 21:00,4.11,64.47,-1.08,2.34,66.45,1.0,3,2018-01-14 21:00:00,5.19,True
128372,128372,2018-01-14 22:00,4.08,64.99,-1.12,2.28,66.27,1.0,3,2018-01-14 22:00:00,5.2,True
128373,128373,2018-01-14 23:00,4.05,66.21,-1.0,2.49,68.1,1.0,3,2018-01-14 23:00:00,5.05,True
128374,128374,2018-01-15 0:00,4.05,68.16,-0.74,2.74,68.65,1.0,3,2018-01-15 00:00:00,4.79,True
128375,128375,2018-01-15 1:00,4.02,70.45,-0.81,2.86,69.63,1.0,3,2018-01-15 01:00:00,4.83,True
128376,128376,2018-01-15 2:00,4.54,71.09,-0.55,2.49,73.57,1.0,3,2018-01-15 02:00:00,5.09,True
128377,128377,2018-01-15 3:00,4.87,77.56,-0.36,4.81,77.69,1.0,3,2018-01-15 03:00:00,5.23,True
128378,128378,2018-01-15 4:00,5.21,75.89,-0.09,5.02,78.02,1.0,3,2018-01-15 04:00:00,5.3,True
128379,128379,2018-01-15 5:00,5.42,80.83,0.14,5.05,79.55,1.0,3,2018-01-15 05:00:00,5.28,True
128380,128380,2018-01-15 6:00,5.3,83.15,0.14,5.05,81.2,1.0,3,2018-01-15 06:00:00,5.16,True
128381,128381,2018-01-15 7:00,5.54,81.35,0.33,5.15,82.6,1.0,3,2018-01-15 07:00:00,5.21,True
128382,128382,2018-01-15 8:00,5.79,82.91,0.6,4.96,82.33,1.0,3,2018-01-15 08:00:00,5.19,True
128383,128383,2018-01-15 9:00,5.63,83.55,0.83,7.74,72.41,1.0,3,2018-01-15 09:00:00,4.8,True
128384,128384,2018-01-15 10:00,6.21,77.23,0.87,9.82,50.61,1.0,3,2018-01-15 10:00:00,5.34,True
128385,128385,2018-01-15 11:00,6.49,75.15,1.06,7.19,60.84,1.0,3,2018-01-15 11:00:00,5.43,True
128386,128386,2018-01-15 12:00,6.7,72.99,1.29,6.55,65.08,1.0,3,2018-01-15 12:00:00,5.41,True
128387,128387,2018-01-15 13:00,6.89,69.23,1.44,6.28,62.18,1.0,3,2018-01-15 13:00:00,5.449999999999998,True
128388,128388,2018-01-15 14:00,6.76,65.32,1.55,5.63,60.38,1.0,3,2018-01-15 14:00:00,5.21,True
128389,128389,2018-01-15 15:00,6.7,64.53,1.74,5.45,61.26,0.0,3,2018-01-15 15:00:00,4.96,True
128415,128415,2018-01-16 17:00,5.94,71.37,2.39,4.87,70.85,0.0,3,2018-01-16 17:00:00,3.5500000000000003,True
128416,128416,2018-01-16 18:00,5.79,71.58,2.51,4.35,72.22,0.0,3,2018-01-16 18:00:00,3.28,True
128417,128417,2018-01-16 19:00,5.73,73.14,2.47,4.57,74.66,0.0,3,2018-01-16 19:00:00,3.26,True
128418,128418,2018-01-16 20:00,5.82,72.95,2.58,4.6,72.31,0.0,3,2018-01-16 20:00:00,3.24,True
128419,128419,2018-01-16 21:00,5.88,71.12,2.54,4.99,67.7,0.0,3,2018-01-16 21:00:00,3.34,True
128420,128420,2018-01-16 22:00,5.88,71.34,2.62,4.35,72.92,0.0,3,2018-01-16 22:00:00,3.26,True
128421,128421,2018-01-16 23:00,5.79,74.33,2.7,4.72,76.98,0.0,3,2018-01-16 23:00:00,3.09,True
128422,128422,2018-01-17 0:00,5.76,71.95,2.74,4.41,72.28,0.0,3,2018-01-17 00:00:00,3.02,True
128427,128427,2018-01-17 5:00,5.09,75.55,2.85,2.31,85.74,0.0,3,2018-01-17 05:00:00,2.24,True
128428,128428,2018-01-17 6:00,4.99,77.14,2.89,2.86,85.71,0.0,3,2018-01-17 06:00:00,2.1,True
128429,128429,2018-01-17 7:00,5.02,77.81,2.89,2.77,85.1,0.0,3,2018-01-17 07:00:00,2.1299999999999994,True
128430,128430,2018-01-17 8:00,4.99,77.01,2.89,2.49,84.46,0.0,3,2018-01-17 08:00:00,2.1,True
128431,128431,2018-01-17 9:00,5.12,77.84,3.0,3.16,84.13,0.0,3,2018-01-17 09:00:00,2.12,True
128432,128432,2018-01-17 10:00,5.36,78.6,2.96,3.68,83.88,0.0,3,2018-01-17 10:00:00,2.4000000000000004,True
128433,128433,2018-01-17 11:00,5.79,79.12,3.12,4.41,83.21,1.0,3,2018-01-17 11:00:00,2.67,True
128434,128434,2018-01-17 12:00,6.15,78.17,3.12,5.36,79.21,1.0,3,2018-01-17 12:00:00,3.03,True
128435,128435,2018-01-17 13:00,6.73,77.2,3.27,5.24,76.13,1.0,3,2018-01-17 13:00:00,3.4600000000000004,True
128436,128436,2018-01-17 14:00,6.98,74.88,3.31,5.88,73.14,1.0,3,2018-01-17 14:00:00,3.67,True
128437,128437,2018-01-17 15:00,7.16,71.09,3.38,4.99,72.34,0.0,3,2018-01-17 15:00:00,3.78,True
128438,128438,2018-01-17 16:00,6.89,70.36,3.42,4.57,75.55,0.0,3,2018-01-17 16:00:00,3.47,True
128450,128450,2018-01-18 4:00,6.25,76.13,3.99,5.12,79.3,0.0,3,2018-01-18 04:00:00,2.26,True
